Identifier,prob_id,score,prob_desc
766791,6,0,SQL problem 6
766791,7,0,SQL problem 7
766791,8,0,SQL problem 8
766792,1,0,SQL problem 1
766792,2,0,SQL problem 2
766792,3,0,SQL problem 3
766792,4,1,SQL problem 4
766792,5,1,SQL problem 5
766792,6,0,SQL problem 6
766792,7,1,SQL problem 7
766792,8,1,SQL problem 8
766778,1,0,SQL problem 1
766778,2,0,SQL problem 2
766778,3,0,SQL problem 3
766778,4,0,SQL problem 4
766778,5,0,SQL problem 5
766778,6,0,SQL problem 6
766778,7,0,SQL problem 7
766778,8,1,SQL problem 8
766777,1,0,SQL problem 1
766777,2,0,SQL problem 2
766777,3,0,SQL problem 3
766777,4,0,SQL problem 4
766777,5,0,SQL problem 5
766777,6,0,SQL problem 6
766777,7,0,SQL problem 7
766777,8,0,SQL problem 8
766797,1,0,SQL problem 1
766797,2,0,SQL problem 2
766797,3,0,SQL problem 3
766797,4,1,SQL problem 4
766797,5,0,SQL problem 5
766797,6,0,SQL problem 6
766797,7,0,SQL problem 7
766797,8,0,SQL problem 8
766785,1,0,SQL problem 1
766785,2,0,SQL problem 2
766785,3,0,SQL problem 3
766785,4,1,SQL problem 4
766785,5,0,SQL problem 5
766785,6,1,SQL problem 6
766785,7,1,SQL problem 7
766785,8,1,SQL problem 8
766801,1,1,SQL problem 1
766801,2,1,SQL problem 2
766801,3,1,SQL problem 3
766801,4,1,SQL problem 4
766801,5,1,SQL problem 5
766801,6,1,SQL problem 6
766801,7,1,SQL problem 7
766801,8,1,SQL problem 8
766812,1,0,SQL problem 1
766812,2,0,SQL problem 2
766812,3,0,SQL problem 3
766812,4,0,SQL problem 4
766812,5,0,SQL problem 5
766812,6,0,SQL problem 6
766812,7,1,SQL problem 7
766812,8,1,SQL problem 8
766798,1,0,SQL problem 1
766798,2,0,SQL problem 2
766798,3,0,SQL problem 3
766798,4,1,SQL problem 4
766798,5,0,SQL problem 5
766798,6,1,SQL problem 6
766798,7,0,SQL problem 7
766798,8,1,SQL problem 8
766787,1,0,SQL problem 1
766787,2,0,SQL problem 2
766787,3,0,SQL problem 3
766787,4,0,SQL problem 4
766787,5,0,SQL problem 5
766787,6,0,SQL problem 6
766787,7,0,SQL problem 7
766787,8,1,SQL problem 8
766808,1,0,SQL problem 1
766808,2,0,SQL problem 2
766808,3,0,SQL problem 3
766808,4,1,SQL problem 4
766808,5,0,SQL problem 5
766808,6,0,SQL problem 6
766808,7,0,SQL problem 7
766808,8,1,SQL problem 8
766794,1,0,SQL problem 1
766794,2,0,SQL problem 2
766794,3,0,SQL problem 3
766794,4,0,SQL problem 4
766794,5,0,SQL problem 5
766794,6,0,SQL problem 6
766794,7,0,SQL problem 7
766794,8,0,SQL problem 8
