Identifier,prob_id,prob_desc,score
766779,4,SQL problem 4,1
766779,5,SQL problem 5,1
766779,6,SQL problem 6,1
766779,7,SQL problem 7,1
766779,8,SQL problem 8,1
766802,1,SQL problem 1,0
766802,2,SQL problem 2,0
766802,3,SQL problem 3,0
766802,4,SQL problem 4,1
766802,5,SQL problem 5,0
766802,6,SQL problem 6,0
766802,7,SQL problem 7,0
766802,8,SQL problem 8,0
766814,1,SQL problem 1,0
766814,2,SQL problem 2,0
766814,3,SQL problem 3,0
766814,4,SQL problem 4,1
766814,5,SQL problem 5,0
766814,6,SQL problem 6,0
766814,7,SQL problem 7,0
766814,8,SQL problem 8,0
766789,1,SQL problem 1,0
766789,2,SQL problem 2,0
766789,3,SQL problem 3,0
766789,4,SQL problem 4,1
766789,5,SQL problem 5,0
766789,6,SQL problem 6,0
766789,7,SQL problem 7,0
766789,8,SQL problem 8,0
766800,1,SQL problem 1,0
766800,2,SQL problem 2,0
766800,3,SQL problem 3,1
766800,4,SQL problem 4,1
766800,5,SQL problem 5,1
766800,6,SQL problem 6,1
766800,7,SQL problem 7,1
766800,8,SQL problem 8,1
766815,1,SQL problem 1,1
766815,2,SQL problem 2,1
766815,3,SQL problem 3,0
766815,4,SQL problem 4,1
766815,5,SQL problem 5,1
766815,6,SQL problem 6,1
766815,7,SQL problem 7,1
766815,8,SQL problem 8,1
766799,1,SQL problem 1,0
766799,2,SQL problem 2,0
766799,3,SQL problem 3,1
766799,4,SQL problem 4,1
766799,5,SQL problem 5,1
766799,6,SQL problem 6,1
766799,7,SQL problem 7,1
766799,8,SQL problem 8,1
766816,1,SQL problem 1,0
766816,2,SQL problem 2,0
766816,3,SQL problem 3,0
766816,4,SQL problem 4,1
766816,5,SQL problem 5,0
766816,6,SQL problem 6,0
766816,7,SQL problem 7,0
766816,8,SQL problem 8,0
766791,1,SQL problem 1,0
766791,2,SQL problem 2,0
766791,3,SQL problem 3,0
766791,4,SQL problem 4,1
766791,5,SQL problem 5,1
766791,6,SQL problem 6,0
766791,7,SQL problem 7,0
766791,8,SQL problem 8,0
766792,1,SQL problem 1,0
766792,2,SQL problem 2,0
766792,3,SQL problem 3,0
766792,4,SQL problem 4,1
766792,5,SQL problem 5,1
766792,6,SQL problem 6,0
766792,7,SQL problem 7,1
766792,8,SQL problem 8,1
766778,1,SQL problem 1,0
766778,2,SQL problem 2,0
766778,3,SQL problem 3,0
766778,4,SQL problem 4,0
766778,5,SQL problem 5,0
766778,6,SQL problem 6,0
766778,7,SQL problem 7,0
766778,8,SQL problem 8,1
766777,1,SQL problem 1,0
766777,2,SQL problem 2,0
766777,3,SQL problem 3,0
766777,4,SQL problem 4,0
766777,5,SQL problem 5,0
766777,6,SQL problem 6,0
766777,7,SQL problem 7,0
766777,8,SQL problem 8,0
766797,1,SQL problem 1,0
766797,2,SQL problem 2,0
766797,3,SQL problem 3,0
766797,4,SQL problem 4,1
766797,5,SQL problem 5,0
766797,6,SQL problem 6,0
766797,7,SQL problem 7,0
766797,8,SQL problem 8,0
766785,1,SQL problem 1,0
766785,2,SQL problem 2,0
766785,3,SQL problem 3,0
766785,4,SQL problem 4,1
766785,5,SQL problem 5,0
766785,6,SQL problem 6,1
766785,7,SQL problem 7,1
766785,8,SQL problem 8,1
766801,1,SQL problem 1,1
766801,2,SQL problem 2,1
766801,3,SQL problem 3,1
766801,4,SQL problem 4,1
766801,5,SQL problem 5,1
766801,6,SQL problem 6,1
766801,7,SQL problem 7,1
766801,8,SQL problem 8,1
766812,1,SQL problem 1,0
766812,2,SQL problem 2,0
766812,3,SQL problem 3,0
766812,4,SQL problem 4,0
766812,5,SQL problem 5,0
766812,6,SQL problem 6,0
766812,7,SQL problem 7,1
766812,8,SQL problem 8,1
766798,1,SQL problem 1,0
766798,2,SQL problem 2,0
766798,3,SQL problem 3,0
766798,4,SQL problem 4,1
766798,5,SQL problem 5,0
766798,6,SQL problem 6,1
766798,7,SQL problem 7,0
766798,8,SQL problem 8,1
766787,1,SQL problem 1,0
766787,2,SQL problem 2,0
766787,3,SQL problem 3,0
766787,4,SQL problem 4,0
766787,5,SQL problem 5,0
766787,6,SQL problem 6,0
766787,7,SQL problem 7,0
766787,8,SQL problem 8,1
766808,1,SQL problem 1,0
766808,2,SQL problem 2,0
766808,3,SQL problem 3,0
766808,4,SQL problem 4,1
766808,5,SQL problem 5,0
766808,6,SQL problem 6,0
766808,7,SQL problem 7,0
766808,8,SQL problem 8,1
766794,1,SQL problem 1,0
766794,2,SQL problem 2,0
766794,3,SQL problem 3,0
766794,4,SQL problem 4,0
766794,5,SQL problem 5,0
766794,6,SQL problem 6,0
766794,7,SQL problem 7,0
766794,8,SQL problem 8,0
